"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Native Status","Federal Noxious Status","Federal Noxious Common Name","State Noxious Status","State Noxious Common Name","Invasive"
"NAUN","","NAUN","Nama undulatum","L48(N)","","","","",""
"NAXY","","NAXY","Nama xylopodum","L48(N)","","","","",""
"NANDI","","NANDI","Nandina","L48(I)","","","","",""
"NADO","","NADO","Nandina domestica","L48(I)","","","","","FLEPPC"
"NANOS","","NANOS","Nanostictis","NA(N)","","","","",""
"NAPS2","","NAPS2","Nanostictis pseudocyphellariae","NA(N)","","","","",""
"NANOZ","","NANOZ","Nanozostera","L48(I)CAN(I)","","","","",""
"NAJA5","","NAJA5","Nanozostera japonica","L48(I)CAN(I)","","","","",""
"NAPAE","","NAPAE","Napaea","L48(N)","","","","",""
"NADI2","","NADI2","Napaea dioica","L48(N)","","","","",""
"NARCI","","NARCI","Narcissus","L48(I)CAN(I)","","","","",""
"NAIN","","NAIN","Narcissus ×incomparabilis","L48(I)","","","","",""
"NAIN6","","NAIN6","Narcissus ×intermedius","L48(I)","","","","",""
"NAME2","","NAME2","Narcissus ×medioluteus","L48(I)","","","","",""
"NAOD","","NAOD","Narcissus ×odorus","L48(I)","","","","",""
"NAAS2","","NAAS2","Narcissus assoanus","L48(I)","","","","",""
"NABU","","NABU","Narcissus bulbocodium","L48(I)","","","","",""
"NAJO","","NAJO","Narcissus jonquilla","L48(I)","","","","",""
"NAPA3","","NAPA3","Narcissus papyraceus","L48(I)","","","","",""
"NAPO","","NAPO","Narcissus poeticus","L48(I)CAN(I)","","","","",""
"NAPS","","NAPS","Narcissus pseudonarcissus","L48(I)CAN(I)","","","","",""
"NATA2","","NATA2","Narcissus tazetta","L48(I)","","","","",""
"NARDI","","NARDI","Nardia","NA(N)","","","","",""
"NABR4","","NABR4","Nardia breidleri","NA(N)","","","","",""
"NACO5","","NACO5","Nardia compressa","NA(N)","","","","",""
"NAGE","","NAGE","Nardia geoscyphus","NA(N)","","","","",""
"NAGEB","","NAGEB","Nardia geoscyphus var. bifida","NA(N)","","","","",""
"NAGEG","","NAGEG","Nardia geoscyphus var. geoscyphus","NA(N)","","","","",""
"NAIN5","","NAIN5","Nardia insecta","NA(N)","","","","",""
"NAJA4","","NAJA4","Nardia japonica","NA(N)","","","","",""
"NALE4","","NALE4","Nardia lescurii","NA(N)","","","","",""
"NASC2","","NASC2","Nardia scalaris","NA(N)","","","","",""
"NASCB","","NASCB","Nardia scalaris ssp. botryoidea","NA(N)","","","","",""
"NASCS","","NASCS","Nardia scalaris ssp. scalaris","NA(N)","","","","",""
"NARDU","","NARDU","Nardus","L48(I)CAN(I)GL(I)SPM(I)","","","","",""
"NAST3","","NAST3","Nardus stricta","L48(I)CAN(I)GL(I)SPM(I)","","","ID(NW)OR(ADW)","ID (matgrass)OR (matgrass)","STATE"
"NARTH","","NARTH","Narthecium","L48(N)","","","","",""
"NAAM","","NAAM","Narthecium americanum","L48(N)","","","","",""
"NACA2","","NACA2","Narthecium californicum","L48(N)","","","","",""
"NASHI","","NASHI","Nashia","","","","","",""
"NAIN3","","NAIN3","Nashia inaguensis","PR(N)","","","","",""
"NASSE","","NASSE","Nassella","L48(I,N)CAN(N)","","","","",""
"NACE","","NACE","Nassella cernua","L48(N)HI(I)","","","","",""
"NACH","","NACH","Nassella chilensis","L48(I)","","","","",""
"NAHY","","NAHY","Nassella hyalina","","","","","",""
"NALE2","","NALE2","Nassella lepida","L48(N)","","","","",""
"NALE3","","NALE3","Nassella leucotricha","L48(N)","","","","",""
"NAMA7","","NAMA7","Nassella manicata","L48(I)","","","","",""
"NAME4","","NAME4","Nassella megapotamica","","","","","",""
"NANE","","NANE","Nassella neesiana","L48(I)","","","","",""
"NAPU4","","NAPU4","Nassella pulchra","L48(N)","","","","",""
"NATE4","","NATE4","Nassella tenuis","","","","","",""
"NATE3","","NATE3","Nassella tenuissima","L48(N)","","","","",""
"NATR3","","NATR3","Nassella trichotoma","L48(I)","NW","serrated tussock","AL(CAW)AR(NW)AZ(PNW)CA(Q)FL(NW)HI(NW)MA(P)MN(PNW)NC(CAW)OR(Q)SC(PP)TX(NP)VT(CAW)","AL (serrated tussock), AR (serrated tussock), AZ (serrated tussock), CA (serrated tussock), FL (serrated tussock grass), MA (serrated tussock), MN (serrated tussock), NC (serrated tussock grass), OR (serrated tussock), SC (serrated tussock), TX (serrated tussock), VT (serrated tussock)","STATE, US"
"NAVI4","","NAVI4","Nassella viridula","L48(N)CAN(N)","","","","",""
"NASTU2","","NASTU2","Nasturtium","L48(I,N)CAN(I,N)SPM(I)","","","","",""
"NAST4","","NAST4","Nasturtium ×sterile","L48(I)CAN(N)","","","","",""
"NAFL2","","NAFL2","Nasturtium floridanum","L48(N)","","","","",""
"NAGA","","NAGA","Nasturtium gambelii","L48(N)","","","","",""
"NAMI2","","NAMI2","Nasturtium microphyllum","L48(I)AK(I)HI(I)CAN(I)SPM(I)","","","","",""
"NAOF","","NAOF","Nasturtium officinale","L48(I)AK(I)PR(I)VI(I)CAN(I)SPM(I)","","","","","SEEPPC"
"NAVAR","","NAVAR","Navarretia","L48(N)CAN(N)","","","","",""
"NAAT","","NAAT","Navarretia atractyloides","L48(N)","","","","",""
"NABR","","NABR","Navarretia breweri","L48(N)","","","","",""
"NACA6","","NACA6","Navarretia capillaris","L48(N)","","","","",""
"NACO","","NACO","Navarretia cotulifolia","L48(N)","","","","",""
"NADI3","","NADI3","Navarretia divaricata","L48(N)CAN(N)","","","","",""
"NADID","","NADID","Navarretia divaricata ssp. divaricata","L48(N)CAN(N)","","","","",""
"NADIV","","NADIV","Navarretia divaricata ssp. vividior","L48(N)","","","","",""
"NAER","","NAER","Navarretia eriocephala","L48(N)","","","","",""
"NAFI","","NAFI","Navarretia filicaulis","L48(N)","","","","",""
"NAFO","","NAFO","Navarretia fossalis","L48(N)","","","","",""
"NAFU","","NAFU","Navarretia furnissii","L48(N)","","","","",""
"NAHA2","","NAHA2","Navarretia hamata","L48(N)","","","","",""
"NAHAH","","NAHAH","Navarretia hamata ssp. hamata","L48(N)","","","","",""
"NAHAL","","NAHAL","Navarretia hamata ssp. leptantha","L48(N)","","","","",""
"NAHAP","","NAHAP","Navarretia hamata ssp. parviloba","L48(N)","","","","",""
"NAHE","","NAHE","Navarretia heterandra","L48(N)","","","","",""
"NAHE2","","NAHE2","Navarretia heterodoxa","L48(N)","","","","",""
"NAIN2","","NAIN2","Navarretia intertexta","L48(N)CAN(N)","","","","",""
"NAINI","","NAINI","Navarretia intertexta ssp. intertexta","L48(N)CAN(N)","","","","",""
"NAINP3","","NAINP3","Navarretia intertexta ssp. propinqua","L48(N)CAN(N)","","","","",""
"NAJA2","","NAJA2","Navarretia jaredii","L48(N)","","","","",""
"NAJE","","NAJE","Navarretia jepsonii","L48(N)","","","","",""
"NALE5","","NALE5","Navarretia leptalea","L48(N)","","","","",""
"NALEB2","","NALEB2","Navarretia leptalea ssp. bicolor","L48(N)","","","","",""
"NALEL2","","NALEL2","Navarretia leptalea ssp. leptalea","L48(N)","","","","",""
"NALE","","NALE","Navarretia leucocephala","L48(N)CAN(N)","","","","",""
"NALEB","","NALEB","Navarretia leucocephala ssp. bakeri","L48(N)","","","","",""
"NALEL","","NALEL","Navarretia leucocephala ssp. leucocephala","L48(N)","","","","",""
"NALEM","","NALEM","Navarretia leucocephala ssp. minima","L48(N)CAN(N)","","","","",""
"NALEP","","NALEP","Navarretia leucocephala ssp. pauciflora","L48(N)","","","","",""
"NALEP2","","NALEP2","Navarretia leucocephala ssp. plieantha","L48(N)","","","","",""
"NAME","","NAME","Navarretia mellita","L48(N)","","","","",""
"NAMY","","NAMY","Navarretia myersii","L48(N)","","","","",""
"NAMYD","","NAMYD","Navarretia myersii ssp. deminuta","L48(N)","","","","",""
"NAMYM","","NAMYM","Navarretia myersii ssp. myersii","L48(N)","","","","",""
"NANI","","NANI","Navarretia nigelliformis","L48(N)","","","","",""
"NANIN","","NANIN","Navarretia nigelliformis ssp. nigelliformis","L48(N)","","","","",""
"NANIR","","NANIR","Navarretia nigelliformis ssp. radians","L48(N)","","","","",""
"NAPA4","","NAPA4","Navarretia paradoxiclara","L48(N)","","","","",""
"NAPA5","","NAPA5","Navarretia paradoxinota","L48(N)","","","","",""
"NAPE","","NAPE","Navarretia peninsularis","L48(N)","","","","",""
"NAPR","","NAPR","Navarretia prolifera","L48(N)","","","","",""
"NAPRL","","NAPRL","Navarretia prolifera ssp. lutea","L48(N)","","","","",""
"NAPRP","","NAPRP","Navarretia prolifera ssp. prolifera","L48(N)","","","","",""
"NAPR2","","NAPR2","Navarretia prostrata","L48(N)","","","","",""
"NAPU2","","NAPU2","Navarretia pubescens","L48(N)","","","","",""
"NARO2","","NARO2","Navarretia rosulata","L48(N)","","","","",""
"NASA3","","NASA3","Navarretia saximontana","L48(N)CAN(N)","","","","",""
"NASE2","","NASE2","Navarretia setiloba","L48(N)","","","","",""
"NASI2","","NASI2","Navarretia sinistra","L48(N)","","","","",""
"NASIP","","NASIP","Navarretia sinistra ssp. pinnatisecta","L48(N)","","","","",""
"NASIS","","NASIS","Navarretia sinistra ssp. sinistra","L48(N)","","","","",""
"NASQ","","NASQ","Navarretia squarrosa","L48(N)CAN(N)","","","","",""
"NASU","","NASU","Navarretia subuligera","L48(N)","","","","",""
"NATA3","","NATA3","Navarretia tagetina","L48(N)","","","","",""
"NAVI","","NAVI","Navarretia viscidula","L48(N)","","","","",""
"NAVIP","","NAVIP","Navarretia viscidula ssp. purpurea","L48(N)","","","","",""
"NAVIV","","NAVIV","Navarretia viscidula ssp. viscidula","L48(N)","","","","",""
"NAWI","","NAWI","Navarretia willamettensis","L48(N)","","","","",""
"NECHA","","NECHA","Nechamandra","","","","","",""
"NEAL2","","NEAL2","Nechamandra alternifolia","","","","FL(PAP1)","","STATE"
"NECKE2","","NECKE2","Neckera","NA(N)","","","","",""
"NECO8","","NECO8","Neckera complanata","NA(N)","","","","",""
"NEDO70","","NEDO70","Neckera douglasii","NA(N)","","","","",""
"NEPE4","","NEPE4","Neckera pennata","NA(N)","","","","",""
"NECKE3","","NECKE3","Neckeropsis","NA(N)","","","","",""
"NEDI2","","NEDI2","Neckeropsis disticha","NA(N)","","","","",""
"NEUN2","","NEUN2","Neckeropsis undulata","NA(N)","","","","",""
"NECTA2","","NECTA2","Nectandra","L48(N)","","","","",""
"NECO","","NECO","Nectandra coriacea","L48(N)PR(N)VI(N)","","","","",""
"NEHI2","","NEHI2","Nectandra hihua","PR(N)VI(N)","","","","",""
"NEKR","","NEKR","Nectandra krugii","PR(N)","","","","",""
"NEME3","","NEME3","Nectandra membranacea","PR(N)VI(N)","","","","",""
"NEPA4","","NEPA4","Nectandra patens","PR(N)VI(N)","","","","",""
"NETU","","NETU","Nectandra turbacensis","PR(N)VI(N)","","","","",""
"NECTO","","NECTO","Nectouxia","L48(N)","","","","",""
"NEFO","","NEFO","Nectouxia formosa","L48(N)","","","","",""
"NECTR","","NECTR","Nectria","NA(N)","","","","",""
"NELE2","","NELE2","Nectria lecanodes","NA(N)","","","","",""
"NEPA6","","NEPA6","Nectria parmeliae","NA(N)","","","","",""
"NERU2","","NERU2","Nectria rubifaciens","NA(N)","","","","",""
"NEZO","","NEZO","Nectria zonata","NA(N)","","","","",""
"NEEA","","NEEA","Neea","","","","","",""
"NEBU","","NEBU","Neea buxifolia","PR(N)VI(N)","","","","",""
"NEERA2","","NEERA2","Neeragrostis","L48(N)","","","","",""
"NERE3","","NERE3","Neeragrostis reptans","L48(N)","","","","",""
"NEISO","","NEISO","Neisosperma","","","","","",""
"NEOP","","NEOP","Neisosperma oppositifolia","L48(N)","","","","",""
"NEKEM","","NEKEM","Nekemias","L48(N)","","","","",""
"NEAR5","","NEAR5","Nekemias arborea","L48(N)PR(N)","","","","","SWSS"
"NELSO","","NELSO","Nelsonia","","","","","",""
"NECA4","","NECA4","Nelsonia canescens","PR(N)","","","","",""
"NELUM","","NELUM","Nelumbo","L48(I,N)CAN(N)","","","","",""
"NELU","","NELU","Nelumbo lutea","L48(N)CAN(N)","","","CT(PIB)","CT (American water lotus)","STATE"
"NENU2","","NENU2","Nelumbo nucifera","L48(I)","","","","",""
"NEMAC","","NEMAC","Nemacaulis","L48(N)","","","","",""
"NEDE","","NEDE","Nemacaulis denudata","L48(N)","","","","",""
"NEDED","","NEDED","Nemacaulis denudata var. denudata","L48(N)","","","","",""
"NEDEG","","NEDEG","Nemacaulis denudata var. gracilis","L48(N)","","","","",""
"NEMAC2","","NEMAC2","Nemacladus","L48(N)","","","","",""
"NECA","","NECA","Nemacladus capillaris","L48(N)","","","","",""
"NEGL","","NEGL","Nemacladus glanduliferus","L48(N)","","","","",""
"NEGLG","","NEGLG","Nemacladus glanduliferus var. glanduliferus","L48(N)","","","","",""
"NEGLO","","NEGLO","Nemacladus glanduliferus var. orientalis","L48(N)","","","","",""
"NEGR","","NEGR","Nemacladus gracilis","L48(N)","","","","",""
"NEIN","","NEIN","Nemacladus interior","L48(N)","","","","",""
"NELO","","NELO","Nemacladus longiflorus","L48(N)","","","","",""
"NELOB","","NELOB","Nemacladus longiflorus var. breviflorus","L48(N)","","","","",""
"NELOL","","NELOL","Nemacladus longiflorus var. longiflorus","L48(N)","","","","",""
"NEMO","","NEMO","Nemacladus montanus","L48(N)","","","","",""
"NEPI","","NEPI","Nemacladus pinnatifidus","L48(N)","","","","",""
"NERA","","NERA","Nemacladus ramosissimus","L48(N)","","","","",""
"NERI","","NERI","Nemacladus rigidus","L48(N)","","","","",""
"NERU","","NERU","Nemacladus rubescens","L48(N)","","","","",""
"NERUR","","NERUR","Nemacladus rubescens var. rubescens","L48(N)","","","","",""
"NERUT","","NERUT","Nemacladus rubescens var. tenuis","L48(N)","","","","",""
"NESE","","NESE","Nemacladus secundiflorus","L48(N)","","","","",""
"NESI","","NESI","Nemacladus sigmoideus","L48(N)","","","","",""
"NETW","","NETW","Nemacladus twisselmannii","L48(N)","","","","",""
"NEMAS","","NEMAS","Nemastylis","L48(N)","","","","",""
"NEFL","","NEFL","Nemastylis floridana","L48(N)","","","","",""
"NEGE","","NEGE","Nemastylis geminiflora","L48(N)","","","","",""
"NENU","","NENU","Nemastylis nuttallii","L48(N)","","","","",""
"NETE","","NETE","Nemastylis tenuis","L48(N)","","","","",""
"NETEP2","","NETEP2","Nemastylis tenuis ssp. pringlei","L48(N)","","","","",""
"NEMES2","","NEMES2","Nemesia","CAN(I)NA(I)","","","","",""
"NEST","","NEST","Nemesia strumosa","CAN(I)NA(I)","","","","",""
"NEMOP2","","NEMOP2","Nemopanthus","","","","","",""
"NEMOP","","NEMOP","Nemophila","L48(N)CAN(N)","","","","",""
"NEAP","","NEAP","Nemophila aphylla","L48(N)","","","","",""
"NEBR","","NEBR","Nemophila breviflora","L48(N)CAN(N)","","","","",""
"NEHE","","NEHE","Nemophila heterophylla","L48(N)","","","","",""
"NEKI","","NEKI","Nemophila kirtleyi","L48(N)","","","","",""
"NEMA","","NEMA","Nemophila maculata","L48(N)","","","","",""
"NEME","","NEME","Nemophila menziesii","L48(N)AK(I)","","","","",""
"NEMEA","","NEMEA","Nemophila menziesii var. atomaria","L48(N)AK(I)","","","","",""
"NEMEI","","NEMEI","Nemophila menziesii var. integrifolia","L48(N)","","","","",""
"NEMEM","","NEMEM","Nemophila menziesii var. menziesii","L48(N)","","","","",""
"NEPA","","NEPA","Nemophila parviflora","L48(N)CAN(N)","","","","",""
"NEPAA","","NEPAA","Nemophila parviflora var. austiniae","L48(N)","","","","",""
"NEPAP","","NEPAP","Nemophila parviflora var. parviflora","L48(N)CAN(N)","","","","",""
"NEPAQ","","NEPAQ","Nemophila parviflora var. quercifolia","L48(N)","","","","",""
"NEPE","","NEPE","Nemophila pedunculata","L48(N)CAN(N)","","","","",""
"NEPH","","NEPH","Nemophila phacelioides","L48(N)","","","","",""
"NEPU2","","NEPU2","Nemophila pulchella","L48(N)","","","","",""
"NEPUF","","NEPUF","Nemophila pulchella var. fremontii","L48(N)","","","","",""
"NEPUG","","NEPUG","Nemophila pulchella var. gracilis","L48(N)","","","","",""
"NEPUP2","","NEPUP2","Nemophila pulchella var. pulchella","L48(N)","","","","",""
"NESP","","NESP","Nemophila spatulata","L48(N)","","","","",""
"NEOBE","","NEOBE","Neobeckia","L48(N)CAN(N)","","","","",""
"NEAQ2","","NEAQ2","Neobeckia aquatica","L48(N)CAN(N)","","","","",""
"NEOFU","","NEOFU","Neofuscelia","NA(N)","","","","",""
"NEAH","","NEAH","Neofuscelia ahtii","NA(N)","","","","",""
"NEAT","","NEAT","Neofuscelia atticoides","NA(N)","","","","",""
"NEBR3","","NEBR3","Neofuscelia brunella","NA(N)","","","","",""
"NECH","","NECH","Neofuscelia chiricahuensis","NA(N)","","","","",""
"NEIN4","","NEIN4","Neofuscelia infrapallida","NA(N)","","","","",""
"NELO4","","NELO4","Neofuscelia loxodes","NA(N)","","","","",""
"NEOC2","","NEOC2","Neofuscelia occidentalis","NA(N)","","","","",""
"NEPU6","","NEPU6","Neofuscelia pustulosa","NA(N)","","","","",""
"NESU","","NESU","Neofuscelia subhosseana","NA(N)","","","","",""
"NEVE3","","NEVE3","Neofuscelia verruculifera","NA(N)","","","","",""
"NEOGA","","NEOGA","Neogaerrhinum","L48(N)","","","","",""
"NEFI","","NEFI","Neogaerrhinum filipes","L48(N)","","","","",""
"NEST2","","NEST2","Neogaerrhinum strictum","L48(N)","","","","",""
"NEOLA2","","NEOLA2","Neolamarckia","","","","","",""
"NECA7","","NECA7","Neolamarckia cadamba","PR(I)","","","","",""
"NEOLA","","NEOLA","Neolaugeria","","","","","",""
"NERE2","","NERE2","Neolaugeria resinosa","PR(N)","","","","",""
"NEOLL","","NEOLL","Neolloydia","L48(N)","","","","",""
"NECO5","","NECO5","Neolloydia conoidea","L48(N)","","","","",""
"NEOLO","","NEOLO","Neololeba","","","","","",""
"NEAT2","","NEAT2","Neololeba atra","L48(I)","","","","",""
"NEOMA2","","NEOMA2","Neomacounia","NA(N)","","","","",""
"NENI3","","NENI3","Neomacounia nitida","NA(N)","","","","",""
"NEOMA","","NEOMA","Neomarica","","","","","",""
"NEBR5","","NEBR5","Neomarica brachypus","","","","","",""
"NECA8","","NECA8","Neomarica caerulea","","","","","",""
"NENO","","NENO","Neomarica northiana","PR(I)","","","","",""
"NEONA","","NEONA","Neonauclea","","","","","",""
"NEFO2","","NEFO2","Neonauclea forsteri","","","","","",""
"NEONO","","NEONO","Neonotonia","","","","","",""
"NEWI2","","NEWI2","Neonotonia wightii","HI(I)","","","","",""
"NEWIL","","NEWIL","Neonotonia wightii var. longicauda","","","","","",""
"NEWIM","","NEWIM","Neonotonia wightii var. mearnsii","","","","","",""
"NEWIW","","NEWIW","Neonotonia wightii var. wightii","","","","","",""
"NEOPA","","NEOPA","Neoparrya","L48(N)","","","","",""
"NELI2","","NELI2","Neoparrya lithophila","L48(N)","","","","",""
"NEORE","","NEORE","Neoregelia","","","","","",""
"NEORU","","NEORU","Neorudolphia","","","","","",""
"NEVO","","NEVO","Neorudolphia volubilis","PR(N)","","","","",""
"NEOST","","NEOST","Neostapfia","L48(N)","","","","",""
"NECO2","","NECO2","Neostapfia colusana","L48(N)","","","","",""
"NEOTO","","NEOTO","Neotorularia","L48(N)CAN(N)GL(N)","","","","",""
"NEHU2","","NEHU2","Neotorularia humilis","L48(N)AK(N)CAN(N)GL(N)","","","","",""
"NEPEN","","NEPEN","Nepenthes","","","","","",""
"NEMI5","","NEMI5","Nepenthes mirabilis","L48(N)","","","","",""
"NEPET","","NEPET","Nepeta","L48(I)CAN(I)","","","","",""
"NECA10","","NECA10","Nepeta camphorata","CAN(I)NA(I)","","","","",""
"NECA2","","NECA2","Nepeta cataria","L48(I)AK(I)CAN(I)","","","","","NE&GP"
"NEGR3","","NEGR3","Nepeta grandiflora","L48(I)CAN(I)","","","","",""
"NERA2","","NERA2","Nepeta racemosa","L48(I)","","","","",""
"NEPHE3","","NEPHE3","Nephelea","","","","","",""
"NEPU7","","NEPU7","Nephelea pubescens","","","","","",""
"NEPHE2","","NEPHE2","Nephelium","","","","","",""
"NELA7","","NELA7","Nephelium lappaceum","L48(I)","","","","",""
"NEMU5","","NEMU5","Nephelium mutabile","","","","","",""
"NEPHR","","NEPHR","Nephrolepis","L48(I,N)","","","","",""
"NEAV","","NEAV","Nephrolepis ×averyi","L48(N)","","","","",""
"NECO11","","NECO11","Nephrolepis ×copelandii","HI(N)","","","","",""
"NEME7","","NEME7","Nephrolepis ×medlerae","HI(N)","","","","",""
"NEAC3","","NEAC3","Nephrolepis acutifolia","L48(N)","","","","",""
"NEBI","","NEBI","Nephrolepis biserrata","L48(N)HI(I)PR(N)VI(N)","","","","",""
"NECO3","","NECO3","Nephrolepis cordifolia","L48(I)HI(N)PR(I)VI(I)","","","","","FLEPPC"
"NEEX","","NEEX","Nephrolepis exaltata","L48(N)HI(N)PR(N)VI(N)","","","","",""
"NEEXE","","NEEXE","Nephrolepis exaltata ssp. exaltata","L48(N)PR(N)VI(N)","","","","",""
"NEEXH","","NEEXH","Nephrolepis exaltata ssp. hawaiiensis","HI(N)","","","","",""
"NEFA","","NEFA","Nephrolepis falcata","L48(I)HI(I)","","","","",""
"NEHI","","NEHI","Nephrolepis hirsutula","L48(N)HI(I)","","","","",""
"NELA2","","NELA2","Nephrolepis laurifolia","PR(I)VI(I)","","","","",""
"NEMU","","NEMU","Nephrolepis multiflora","L48(I)HI(I)PR(I)VI(I)","","","","","FLEPPC"
"NEOB","","NEOB","Nephrolepis obliterata","L48(N)","","","","",""
"NEPE5","","NEPE5","Nephrolepis pectinata","","","","","",""
"NERI2","","NERI2","Nephrolepis rivularis","PR(N)VI(N)","","","","",""
"NEUN","","NEUN","Nephrolepis undulata","PR(N)","","","","",""
"NEPHR3","","NEPHR3","Nephroma","NA(N)","","","","",""
"NEAR60","","NEAR60","Nephroma arcticum","NA(N)","","","","",""
"NEBE60","","NEBE60","Nephroma bellum","NA(N)","","","","",""
"NEEX2","","NEEX2","Nephroma expallidum","NA(N)","","","","",""
"NEHE4","","NEHE4","Nephroma helveticum","NA(N)","","","","",""
"NEHEH","","NEHEH","Nephroma helveticum ssp. helveticum","NA(N)","","","","",""
"NEHES","","NEHES","Nephroma helveticum ssp. sipeanum","NA(N)","","","","",""
"NEIS60","","NEIS60","Nephroma isidiosum","NA(N)","","","","",""
"NELA3","","NELA3","Nephroma laevigatum","NA(N)","","","","",""
"NEOC3","","NEOC3","Nephroma occultum","NA(N)","","","","",""
"NEPA60","","NEPA60","Nephroma parile","NA(N)","","","","",""
"NERE60","","NERE60","Nephroma resupinatum","NA(N)","","","","",""
"NESI4","","NESI4","Nephroma silvae-veteris","NA(N)","","","","",""
"NEPHR4","","NEPHR4","Nephrophyllidium","L48(N)CAN(N)","","","","",""
"NECR2","","NECR2","Nephrophyllidium crista-galli","L48(N)AK(N)CAN(N)","","","","",""
"NEPSE","","NEPSE","Nepsera","","","","","",""
"NEAQ","","NEAQ","Nepsera aquatica","PR(N)VI(N)","","","","",""
"NEPTU","","NEPTU","Neptunia","L48(N)","","","","",""
"NELU2","","NELU2","Neptunia lutea","L48(N)","","","","",""
"NEPL","","NEPL","Neptunia plena","L48(N)PR(N)","","","","",""
"NEPR2","","NEPR2","Neptunia prostrata","PR(N)","","","","",""
"NEPU3","","NEPU3","Neptunia pubescens","L48(N)","","","","",""
"NEPUM","","NEPUM","Neptunia pubescens var. microcarpa","L48(N)","","","","",""
"NEPUP","","NEPUP","Neptunia pubescens var. pubescens","L48(N)","","","","",""
"NERAU","","NERAU","Neraudia","","","","","",""
"NEAN","","NEAN","Neraudia angulata","HI(N)","","","","",""
"NEANA","","NEANA","Neraudia angulata var. angulata","HI(N)","","","","",""
"NEAND","","NEAND","Neraudia angulata var. dentata","HI(N)","","","","",""
"NEKA2","","NEKA2","Neraudia kauaiensis","HI(N)","","","","",""
"NEME5","","NEME5","Neraudia melastomifolia","HI(N)","","","","",""
"NEOV","","NEOV","Neraudia ovata","HI(N)","","","","",""
"NESE2","","NESE2","Neraudia sericea","HI(N)","","","","",""
"NERIN","","NERIN","Nerine","","","","","",""
"NEBO","","NEBO","Nerine bowdenii","","","","","",""
"NERIS","","NERIS","Nerisyrenia","L48(N)","","","","",""
"NECA3","","NECA3","Nerisyrenia camporum","L48(N)","","","","",""
"NELI","","NELI","Nerisyrenia linearifolia","L48(N)","","","","",""
"NERIU","","NERIU","Nerium","L48(I)","","","","",""
"NEOL","","NEOL","Nerium oleander","L48(I)PR(I)VI(I)","","","","",""
"NERVI","","NERVI","Nervilia","","","","","",""
"NEAR3","","NEAR3","Nervilia aragoana","L48(N)","","","","",""
"NEJA3","","NEJA3","Nervilia jacksoniae","","","","","",""
"NEPA2","","NEPA2","Nervilia palawensis","L48(N)","","","","",""
"NEPL2","","NEPL2","Nervilia platychila","L48(N)","","","","",""
"NETR4","","NETR4","Nervilia trichophylla","L48(N)","","","","",""
"NESAE","","NESAE","Nesaea","L48(N)","","","","",""
"NELO2","","NELO2","Nesaea longipes","L48(N)","","","","",""
"NESLI","","NESLI","Neslia","L48(I)CAN(I)","","","","",""
"NEPA3","","NEPA3","Neslia paniculata","L48(I)AK(I)CAN(I)","","","","",""
"NESOG","","NESOG","Nesogenes","","","","","",""
"NERO","","NERO","Nesogenes rotensis","","","","","",""
"NESOL","","NESOL","Nesoluma","","","","","",""
"NEPO","","NEPO","Nesoluma polynesicum","HI(N)","","","","",""
"NESTE","","NESTE","Nestegis","","","","","",""
"NESA2","","NESA2","Nestegis sandwicensis","HI(N)","","","","",""
"NESTO","","NESTO","Nestotus","L48(N)CAN(N)","","","","",""
"NEMA5","","NEMA5","Nestotus macleanii","CAN(N)NA(N)","","","","",""
"NEST5","","NEST5","Nestotus stenophyllus","L48(N)","","","","",""
"NESTR","","NESTR","Nestronia","L48(N)","","","","",""
"NEUM","","NEUM","Nestronia umbellula","L48(N)","","","","",""
"NEUBU","","NEUBU","Neuburgia","","","","","",""
"NECE","","NECE","Neuburgia celebica","L48(N)","","","","",""
"NEURO4","","NEURO4","Neurodium","L48(N)","","","","",""
"NELA","","NELA","Neurodium lanceolatum","L48(N)PR(N)VI(N)","","","","",""
"NEURO2","","NEURO2","Neurolaena","L48(I)","","","","",""
"NELO3","","NELO3","Neurolaena lobata","L48(I)HI(I)PR(N)VI(N)","","","","",""
"NEURO3","","NEURO3","Neurolejeunea","NA(N)","","","","",""
"NEBR4","","NEBR4","Neurolejeunea breutelii","NA(N)","","","","",""
"NEVIU","","NEVIU","Neviusia","L48(N)","","","","",""
"NEAL","","NEAL","Neviusia alabamensis","L48(N)","","","","",""
"NECL","","NECL","Neviusia cliftonii","L48(N)","","","","",""
"NEYRA","","NEYRA","Neyraudia","L48(I)","","","","",""
"NEAR","","NEAR","Neyraudia arundinacea","","","","","",""
"NERE","","NERE","Neyraudia reynaudiana","L48(I)","","","FL(NW)","FL (Burma reed)","FLEPPC, STATE"
"NICAN","","NICAN","Nicandra","L48(I)CAN(I)","","","","",""
"NIPH","","NIPH","Nicandra physalodes","L48(I)HI(I)CAN(I)","","","","","SWSS"
"NICOL","","NICOL","Nicolletia","L48(N)","","","","",""
"NIED","","NIED","Nicolletia edwardsii","L48(N)","","","","",""
"NIOC","","NIOC","Nicolletia occidentalis","L48(N)","","","","",""
"NICOT","","NICOT","Nicotiana","L48(I,N)","","","","",""
"NISA","","NISA","Nicotiana ×sanderae","L48(I)CAN(W)","","","","",""
"NIAC","","NIAC","Nicotiana acuminata","L48(I)","","","","",""
"NIACA2","","NIACA2","Nicotiana acuminata var. acuminata","","","","","",""
